episode,team_id,team_name,value_pick,synergy,late_bonus,panic_penalty,block_reward,waste_penalty,balance_bonus,season_total,transfer_total,TOTAL,budget_wasted_cr,final_position,squad_balance_score
1,MI,MI,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,105.0,0.0,90.0,90.0,5,0.0
1,CSK,CSK,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,150.0,0.0,135.0,90.0,4,0.0
1,RCB,RCB,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,150.0,0.0,135.0,90.0,3,0.0
1,KKR,KKR,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,200.0,0.0,185.0,90.0,2,0.0
1,DC,DC,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,330.0,0.0,315.0,90.0,1,0.0
1,RR,RR,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,40.0,0.0,25.0,90.0,8,0.0
1,PBKS,PBKS,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,55.0,0.0,40.0,90.0,7,0.0
1,SRH,SRH,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,90.0,0.0,75.0,90.0,6,0.0
1,MI,MI,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,105.0,0.0,90.0,90.0,5,0.0
1,CSK,CSK,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,150.0,0.0,135.0,90.0,4,0.0
1,RCB,RCB,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,150.0,0.0,135.0,90.0,3,0.0
1,KKR,KKR,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,200.0,0.0,185.0,90.0,2,0.0
1,DC,DC,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,330.0,0.0,315.0,90.0,1,0.0
1,RR,RR,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,40.0,0.0,25.0,90.0,8,0.0
1,PBKS,PBKS,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,55.0,0.0,40.0,90.0,7,0.0
1,SRH,SRH,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,90.0,0.0,75.0,90.0,6,0.0
0,MI,MI,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,105.0,0.0,90.0,90.0,5,0.0
0,CSK,CSK,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,150.0,0.0,135.0,90.0,4,0.0
0,RCB,RCB,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,150.0,0.0,135.0,90.0,3,0.0
0,KKR,KKR,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,200.0,0.0,185.0,90.0,2,0.0
0,DC,DC,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,330.0,0.0,315.0,90.0,1,0.0
0,RR,RR,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,40.0,0.0,25.0,90.0,8,0.0
0,PBKS,PBKS,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,55.0,0.0,40.0,90.0,7,0.0
0,SRH,SRH,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,90.0,0.0,75.0,90.0,6,0.0
2,MI,MI,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,105.0,0.0,90.0,90.0,5,0.0
2,CSK,CSK,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,150.0,0.0,135.0,90.0,4,0.0
2,RCB,RCB,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,150.0,0.0,135.0,90.0,3,0.0
2,KKR,KKR,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,200.0,0.0,185.0,90.0,2,0.0
2,DC,DC,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,330.0,0.0,315.0,90.0,1,0.0
2,RR,RR,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,40.0,0.0,25.0,90.0,8,0.0
2,PBKS,PBKS,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,55.0,0.0,40.0,90.0,7,0.0
2,SRH,SRH,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,90.0,0.0,75.0,90.0,6,0.0
1,MI,MI,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,105.0,0.0,90.0,90.0,5,0.0
1,CSK,CSK,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,150.0,0.0,135.0,90.0,4,0.0
1,RCB,RCB,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,150.0,0.0,135.0,90.0,3,0.0
1,KKR,KKR,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,200.0,0.0,185.0,90.0,2,0.0
1,DC,DC,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,330.0,0.0,315.0,90.0,1,0.0
1,RR,RR,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,40.0,0.0,25.0,90.0,8,0.0
1,PBKS,PBKS,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,55.0,0.0,40.0,90.0,7,0.0
1,SRH,SRH,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,90.0,0.0,75.0,90.0,6,0.0
3,MI,MI,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,105.0,0.0,90.0,90.0,5,0.0
3,CSK,CSK,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,150.0,0.0,135.0,90.0,4,0.0
3,RCB,RCB,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,150.0,0.0,135.0,90.0,3,0.0
3,KKR,KKR,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,200.0,0.0,185.0,90.0,2,0.0
3,DC,DC,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,330.0,0.0,315.0,90.0,1,0.0
3,RR,RR,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,40.0,0.0,25.0,90.0,8,0.0
3,PBKS,PBKS,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,55.0,0.0,40.0,90.0,7,0.0
3,SRH,SRH,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,90.0,0.0,75.0,90.0,6,0.0
2,MI,MI,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,105.0,0.0,90.0,90.0,5,0.0
2,CSK,CSK,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,150.0,0.0,135.0,90.0,4,0.0
2,RCB,RCB,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,150.0,0.0,135.0,90.0,3,0.0
2,KKR,KKR,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,200.0,0.0,185.0,90.0,2,0.0
2,DC,DC,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,330.0,0.0,315.0,90.0,1,0.0
2,RR,RR,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,40.0,0.0,25.0,90.0,8,0.0
